run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
15hfdfku,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-50-24,Leaper,0,257.0,10.0,0.038910505836575876
u4ho8dcq,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-50-33,Leaper,1,163.0,0.0,0.0
kebriru1,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-50-41,Leaper,2,18.0,0.0,0.0
75oanvvr,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-50-49,Leaper,3,98.0,10.0,0.10204081632653061
4vxloszn,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-50-57,Leaper,4,382.0,0.0,0.0
fja3gfoj,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-51-06,Leaper,5,15.0,0.0,0.0
iuez77zi,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-51-14,Leaper,6,106.0,0.0,0.0
ucrkxzlq,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-51-21,Leaper,7,248.0,0.0,0.0
mnuktizv,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-51-30,Leaper,8,62.0,0.0,0.0
jrwipchm,Leaper_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-51-38,Leaper,9,182.0,10.0,0.054945054945054944
81hdih75,Maze_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-51-46,Maze,0,500.0,0.0,0.0
57vwj226,Maze_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-51-56,Maze,1,500.0,0.0,0.0
0wgqhhgs,Maze_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-52-05,Maze,2,159.0,10.0,0.06289308176100629
czwemfdx,Maze_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-52-14,Maze,3,215.0,10.0,0.046511627906976744
6n223tbq,Maze_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-52-22,Maze,4,500.0,0.0,0.0
c1flcx65,Maze_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-52-31,Maze,5,500.0,0.0,0.0
ytrvtwvz,Maze_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-52-41,Maze,6,500.0,0.0,0.0
k0qbxld9,Maze_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-52-50,Maze,7,500.0,0.0,0.0
ulwqruk6,Maze_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-52-59,Maze,8,500.0,0.0,0.0
5svg2f61,Maze_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-53-09,Maze,9,500.0,0.0,0.0
shdp6ifp,Miner_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-47-09,Miner,0,1000.0,2.0,0.002
6wrnyb92,Miner_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-47-20,Miner,1,1000.0,0.0,0.0
459c5ws6,Miner_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-47-32,Miner,2,1000.0,0.0,0.0
58o1mc2t,Miner_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-47-44,Miner,3,1000.0,0.0,0.0
8hmd3p0b,Miner_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-47-55,Miner,4,25.0,0.0,0.0
5rexdv8m,Miner_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-48-02,Miner,5,1000.0,0.0,0.0
qzpiy1uz,Miner_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-48-15,Miner,6,17.0,0.0,0.0
5fe1iu1i,Miner_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-48-22,Miner,7,1000.0,1.0,0.001
3smhp50c,Miner_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-48-34,Miner,8,1000.0,0.0,0.0
gbi6wvew,Miner_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-48-46,Miner,9,21.0,0.0,0.0
875sdb2v,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-59-58,Ninja,0,413.0,0.0,0.0
1ifndfm8,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_02-00-06,Ninja,1,588.0,0.0,0.0
pgds3otc,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_02-00-16,Ninja,2,551.0,0.0,0.0
buowgx7l,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_02-00-29,Ninja,3,560.0,0.0,0.0
hxp30cyc,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_02-00-39,Ninja,4,354.0,0.0,0.0
w9n0dt80,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_02-00-48,Ninja,5,187.0,10.0,0.053475935828877004
zv8mjy6p,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_02-00-56,Ninja,6,669.0,0.0,0.0
dk0mtm3u,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_02-01-07,Ninja,7,104.0,0.0,0.0
8j62y9vg,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_02-01-15,Ninja,8,187.0,0.0,0.0
wy0idfof,Ninja_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_02-01-23,Ninja,9,183.0,0.0,0.0
af5qswm4,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-58-17,Plunder,0,667.0,0.0,0.0
vo65oawn,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-58-27,Plunder,1,640.0,1.0,0.0015625
tpat52sk,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-58-37,Plunder,2,587.0,0.0,0.0
wa37na9d,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-58-47,Plunder,3,627.0,0.0,0.0
3zmc9x0r,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-58-56,Plunder,4,640.0,1.0,0.0015625
oztpot3k,Plunder_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-59-06,Plunder,5,654.0,0.0,0.0
